"Stage","SeqNr","Timestamp [µs]","Phase","Width [µs]","Vprim [mV]"
A,308,10211762,1,64,2028
B,309,10261141,0,194,2506
B,310,10261324,1,192,1933
A,309,10277365,0,62,2515
A,310,10277416,1,64,2025
B,311,10329394,0,186,2551
B,312,10329569,1,184,1953
A,311,10343015,0,63,2549
A,312,10343068,1,62,2007
B,313,10397628,0,177,2542
B,314,10397795,1,175,1931
A,313,10408665,0,63,2551
A,314,10408715,1,65,1994
B,315,10465458,0,169,2440
B,316,10465618,1,166,1944
A,315,10474318,0,63,2458
A,316,10474369,1,64,2039
B,317,10533268,0,161,2438
B,318,10533418,1,160,1946
A,317,10539968,0,63,2494
A,318,10540019,1,64,2023
B,319,10601065,0,152,2601
B,320,10601206,1,151,1940
A,319,10605620,0,63,2504
A,320,10605671,1,65,2025
B,321,10668458,0,144,2549
B,322,10668591,1,142,1935
A,321,10671276,0,63,2517
A,322,10671327,1,64,2018
B,323,10735830,0,136,2517
B,324,10735953,1,137,1937
A,323,10736927,0,63,2553
A,324,10736977,1,66,2023
A,325,10802566,0,63,2501
A,326,10802619,1,62,2005
B,325,10803009,0,128,2544
B,326,10803124,1,128,1910
A,327,10868212,0,63,2422
A,328,10868263,1,65,2030
B,327,10869952,0,120,2494
B,328,10870059,1,121,1915
A,329,10933863,0,63,2637
A,330,10933914,1,65,2028
B,329,10936885,0,110,2560
B,330,10936984,1,110,1915
A,331,10999511,0,63,2413
A,332,10999562,1,64,1964
B,331,11003405,0,103,2447
B,332,11003497,1,101,1901
A,333,11065159,0,63,2472
A,334,11065210,1,64,2037
B,333,11069911,0,95,2546
B,334,11069997,1,92,1870
A,335,11130812,0,62,2515
A,336,11130861,1,66,2028
B,335,11136014,0,86,2540
B,336,11136090,1,85,1876
A,337,11196468,0,63,2416
A,338,11196521,1,62,2009
B,337,11202106,0,79,2431
B,338,11202173,1,78,1872
A,339,11262115,0,63,2537
A,340,11262166,1,64,2025
B,339,11268169,0,71,2544
B,340,11268230,1,68,1840
A,341,11327761,0,63,2447
A,342,11327810,1,67,2032
B,341,11333829,0,64,2501
B,342,11333881,1,65,1845
A,343,11393407,0,63,2488
A,344,11393458,1,64,2057
B,343,11399476,0,64,2531
B,344,11399530,1,63,1752
A,345,11459054,0,62,2504
A,346,11459104,1,65,2025
B,345,11465121,0,63,2544
B,346,11465174,1,63,1843
A,347,11524697,0,63,2506
A,348,11524748,1,64,1976
B,347,11530764,0,64,2544
B,348,11530816,1,65,1849
A,349,11590338,0,63,2619
A,350,11590389,1,64,2025
B,349,11596405,0,64,2544
B,350,11596458,1,64,1843
A,351,11655980,0,63,2519
A,352,11656030,1,65,2018
B,351,11662047,0,64,2393
B,352,11662102,1,62,1827
A,353,11721624,0,63,2418
A,354,11721674,1,66,1982
B,353,11727694,0,64,2531
B,354,11727747,1,64,1836
A,355,11787282,0,63,2440
A,356,11787334,1,63,2012
B,355,11793351,0,64,2476
B,356,11793405,1,63,1829
A,357,11852957,0,63,2540
A,358,11853008,1,64,2030
B,357,11859028,0,64,2537
B,358,11859081,1,64,1834
A,359,11918623,0,64,2553
A,360,11918675,1,64,2023
B,359,11924692,0,64,2549
B,360,11924745,1,64,1820
A,361,11984275,0,62,2506
A,362,11984326,1,64,2023
B,361,11990342,0,64,2472
B,362,11990395,1,64,1849
A,363,12049909,0,63,2526
A,364,12049960,1,64,2030
B,363,12055975,0,64,2542
B,364,12056026,1,66,1854
A,365,12115548,0,65,2596
A,366,12115600,1,66,2005
B,365,12121616,0,64,2494
B,366,12121670,1,63,1843
A,367,12181190,0,72,2544
A,368,12181249,1,75,2041
B,367,12187254,0,64,2542
B,368,12187308,1,63,1847
A,369,12246845,0,80,2510
A,370,12246913,1,81,2057
B,369,12252892,0,64,2526
B,370,12252944,1,65,1852
A,371,12312147,0,88,2564
A,372,12312221,1,92,2079
B,371,12318553,0,65,2551
B,372,12318608,1,62,1834
A,373,12377458,0,97,2542
A,374,12377542,1,98,2084
B,373,12384203,0,64,2546
B,374,12384258,1,62,1840
A,375,12442774,0,105,2515
A,376,12442865,1,107,2091
B,375,12449842,0,65,2549
B,376,12449895,1,64,1852
A,377,12507714,0,112,2501
A,378,12507815,1,113,2100
B,377,12515482,0,65,2542
B,378,12515536,1,63,1849
A,379,12572676,0,121,2558
A,380,12572785,1,121,2104
B,379,12581128,0,63,2549
B,380,12581181,1,63,1847
A,381,12637653,0,129,2440
A,382,12637768,1,131,2111
B,381,12646772,0,64,2364
B,382,12646825,1,64,1843
A,383,12702261,0,136,2531
A,384,12702385,1,137,2109
B,383,12712422,0,64,2494
B,384,12712476,1,63,1831
A,385,12766884,0,144,2607
A,386,12767015,1,146,2131
B,385,12778073,0,63,2537
B,386,12778127,1,62,1802
A,387,12831142,0,152,2499
A,388,12831282,1,152,2147
B,387,12843735,0,64,2440
B,388,12843788,1,64,1829
A,389,12895421,0,160,2485
A,390,12895569,1,160,2147
B,389,12909397,0,64,2533
B,390,12909450,1,64,1834
A,391,12959322,0,168,2485
A,392,12959478,1,168,2185
B,391,12975060,0,64,2465
B,392,12975112,1,65,1847
A,393,13023229,0,176,2479
A,394,13023391,1,178,2149
B,393,13040711,0,64,2546
B,394,13040765,1,63,1834
A,395,13087149,0,183,2485
A,396,13087322,1,181,2131
B,395,13106357,0,64,2528
B,396,13106411,1,63,1845
A,397,13151080,0,191,2555
A,398,13151261,1,189,2131
B,397,13172001,0,64,2533
B,398,13172054,1,64,1858
A,399,13214637,0,199,2528
A,400,13214825,1,198,2167
B,399,13237651,0,64,2535
B,400,13237705,1,63,1834
A,401,13277828,0,207,2632
A,402,13278023,1,207,2183
B,401,13303309,0,64,2481
B,402,13303362,1,63,1856
A,403,13341041,0,215,2555
A,404,13341241,1,216,2242
B,403,13368967,0,64,2544
B,404,13369021,1,63,1845
A,405,13409727,0,205,2499
A,406,13409920,1,206,2161
B,405,13434619,0,64,2549
B,406,13434673,1,63,1858
A,407,13478393,0,197,2420
A,408,13478577,1,198,2185
B,407,13500269,0,64,2544
B,408,13500322,1,64,1847
A,409,13547048,0,188,2479
A,410,13547224,1,188,2161
B,409,13565926,0,64,2542
B,410,13565980,1,63,1847
A,411,13615298,0,180,2582
A,412,13615463,1,183,2152
B,411,13631583,0,64,2407
B,412,13631636,1,64,1849
A,413,13683539,0,172,2483
A,414,13683699,1,171,2136
B,413,13697249,0,64,2546
B,414,13697302,1,64,1863
A,415,13751366,0,164,2598
A,416,13751520,1,160,2115
B,415,13762909,0,69,2474
B,416,13762967,1,69,1856
A,417,13818798,0,154,2519
A,418,13818940,1,156,2131
B,417,13828591,0,77,2546
B,418,13828657,1,77,1865
A,419,13886210,0,147,2540
A,420,13886344,1,148,2102
B,419,13893891,0,86,2549
B,420,13893964,1,87,1883
A,421,13953590,0,138,2542
A,422,13953716,1,140,2122
B,421,13959195,0,94,2528
B,422,13959276,1,95,1894
A,423,14020963,0,131,2485
A,424,14021082,1,132,2109
B,423,14024523,0,102,2551
B,424,14024613,1,101,1903
A,425,14088329,0,122,2397
A,426,14088439,1,122,2102
B,425,14089484,0,110,2537
B,426,14089585,1,107,1874
B,427,14154453,0,118,2526
B,428,14154560,1,116,1960
A,427,14154987,0,113,2544
A,428,14155088,1,114,2095
B,429,14219431,0,126,2546
B,430,14219544,1,127,1926
A,429,14221520,0,107,2388
A,430,14221613,1,108,2086
B,431,14284033,0,134,2510
B,432,14284156,1,132,1931
A,431,14288038,0,97,2418
A,432,14288125,1,96,2064
B,433,14348655,0,140,2504
B,434,14348785,1,139,1933
A,433,14354541,0,90,2540
A,434,14354619,1,90,2064
B,435,14412890,0,149,2553
B,436,14413028,1,147,1949
